sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.4337255269024648,0.168,0.26572552690246476,0.06643138172561619
2,2.0,0.4648151783054063,0.176,0.2888151783054063,0.03610189728817579
3,3.0,0.4824988750345427,0.184,0.2984988750345427,0.024874906252878557
4,4.0,0.49338184651469186,0.192,0.30138184651469185,0.01883636540716824
5,5.0,0.4971555318249636,0.2,0.29715553182496357,0.014857776591248179
6,6.0,0.4999931646774575,0.20800000000000002,0.2919931646774575,0.01216638186156073
7,7.0,0.5031321556619064,0.216,0.2871321556619064,0.010254719845068086
8,8.0,0.5062462157099672,0.224,0.2822462157099672,0.008820194240936476
9,9.0,0.5078730716018106,0.232,0.2758730716018106,0.007663140877828073
10,10.0,0.50895949500958,0.24,0.26895949500958005,0.006723987375239502
11,11.0,0.5097187376411686,0.248,0.2617187376411686,0.005948153128208377
12,12.0,0.5098840026717,0.256,0.25388400267169997,0.005289250055660416
13,13.0,0.5102929628915857,0.264,0.24629296289158564,0.004736403132530493
14,14.0,0.5108938757589669,0.272,0.23889387575896692,0.004265962067124409
15,15.0,0.5112401268748954,0.28,0.23124012687489537,0.0038540021145815895
16,16.0,0.5114150390029656,0.28800000000000003,0.22341503900296555,0.003490859984421337
17,17.0,0.5117447066312295,0.296,0.21574470663122952,0.0031727162739886693
18,18.0,0.5120044186045277,0.304,0.20800441860452773,0.0028889502583962184
19,19.0,0.5119138310055835,0.312,0.19991383100558352,0.0026304451448103095
20,20.0,0.5117520892200855,0.32,0.19175208922008552,0.002396901115251069
21,21.0,0.5116084873738918,0.328,0.18360848737389174,0.0021858153258796633
22,22.0,0.5115735471891758,0.336,0.17557354718917578,0.001995153945331543
23,23.0,0.5117105135126186,0.34400000000000003,0.16771051351261862,0.0018229403642675936
24,24.0,0.511739198575333,0.352,0.15973919857533303,0.001663949985159719
25,25.0,0.5116710343546317,0.36,0.1516710343546317,0.001516710343546317
26,26.0,0.5115910830408175,0.368,0.14359108304081747,0.001380683490777091
27,27.0,0.5114733740773475,0.376,0.1354733740773475,0.0012543830933087732
28,28.0,0.5112448445823391,0.384,0.1272448445823391,0.0011361146837708847
29,29.0,0.5110682280280197,0.392,0.11906822802801964,0.0010264502416208589
30,30.0,0.5109225038512281,0.4,0.11092250385122804,0.0009243541987602337
