sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.1936845786631791,0.168,0.02568457866317908,0.00642114466579477
2,2.0,0.19808496632722253,0.176,0.02208496632722254,0.0027606207909028173
3,3.0,0.1992365512767045,0.184,0.015236551276704507,0.0012697126063920424
4,4.0,0.19890415431121192,0.192,0.006904154311211913,0.00043150964445074456
5,5.0,0.19889027257630013,0.2,-0.0011097274236998855,-5.548637118499428e-05
6,6.0,0.1998979098761038,0.20800000000000002,-0.008102090123896205,-0.00033758708849567523
7,7.0,0.20022352868026963,0.216,-0.015776471319730367,-0.0005634454042760846
8,8.0,0.20024951426708273,0.224,-0.02375048573291727,-0.0007422026791536647
9,9.0,0.2006710438430011,0.232,-0.031328956156998905,-0.0008702487821388585
10,10.0,0.20105088139581048,0.24,-0.03894911860418951,-0.0009737279651047377
11,11.0,0.20130020123247283,0.248,-0.04669979876752717,-0.0010613590628983447
12,12.0,0.20161749658288627,0.256,-0.05438250341711373,-0.0011329688211898694
13,13.0,0.20200188595258003,0.264,-0.06199811404741998,-0.0011922714239888457
14,14.0,0.20221071745856622,0.272,-0.0697892825414338,-0.0012462371882398893
15,15.0,0.20249592623533905,0.28,-0.07750407376466098,-0.0012917345627443497
16,16.0,0.20279834330340707,0.28800000000000003,-0.08520165669659296,-0.001331275885884265
17,17.0,0.20317874694868485,0.296,-0.09282125305131514,-0.0013650184272252226
18,18.0,0.20341658687931852,0.304,-0.10058341312068148,-0.0013969918488983537
19,19.0,0.20397799725008184,0.312,-0.10802200274991816,-0.0014213421414462917
20,20.0,0.20450685606254043,0.32,-0.11549314393745957,-0.0014436642992182447
21,21.0,0.20454595126115216,0.328,-0.12345404873884785,-0.0014696910564148554
22,22.0,0.20509072126589986,0.336,-0.13090927873410016,-0.0014876054401602291
23,23.0,0.20567682081868674,0.34400000000000003,-0.1383231791813133,-0.0015035128171881878
24,24.0,0.20593674459984274,0.352,-0.14606325540015724,-0.001521492243751638
25,25.0,0.20626240316060537,0.36,-0.1537375968393946,-0.001537375968393946
26,26.0,0.20689540580490687,0.368,-0.16110459419509313,-0.00154908263649128
27,27.0,0.20753614617230498,0.376,-0.16846385382769502,-0.0015598504984045834
28,28.0,0.2078233802011376,0.384,-0.1761766197988624,-0.0015730055339184142
29,29.0,0.20844140584917217,0.392,-0.18355859415082784,-0.0015824016737140331
30,30.0,0.20911746689708594,0.4,-0.1908825331029141,-0.0015906877758576174
