sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.18980773017723154,0.168,0.021807730177231532,0.005451932544307883
2,2.0,0.1933037083437727,0.176,0.017303708343772706,0.002162963542971588
3,3.0,0.19526116557902437,0.184,0.011261165579024374,0.0009384304649186978
4,4.0,0.1958458190205876,0.192,0.0038458190205875875,0.00024036368878672422
5,5.0,0.1993939247900085,0.2,-0.0006060752099915079,-3.0303760499575394e-05
6,6.0,0.20482734671307196,0.20800000000000002,-0.003172653286928062,-0.00013219388695533593
7,7.0,0.2069992811278891,0.216,-0.009000718872110902,-0.0003214542454325322
8,8.0,0.2077435854493113,0.224,-0.016256414550688714,-0.0005080129547090223
9,9.0,0.21082983314476206,0.232,-0.021170166855237954,-0.0005880601904232765
10,10.0,0.21512153661351643,0.24,-0.024878463386483557,-0.0006219615846620889
11,11.0,0.2172401704229204,0.248,-0.030759829577079595,-0.000699087035842718
12,12.0,0.219853372081449,0.256,-0.036146627918551,-0.0007530547483031459
13,13.0,0.22407667160363734,0.264,-0.03992332839636267,-0.0007677563153146668
14,14.0,0.22750069217648458,0.272,-0.04449930782351544,-0.0007946304968484899
15,15.0,0.22960148487879262,0.28,-0.05039851512120741,-0.0008399752520201235
16,16.0,0.23261568818024284,0.28800000000000003,-0.0553843118197572,-0.0008653798721837062
17,17.0,0.23566557097463964,0.296,-0.06033442902536035,-0.0008872710150788286
18,18.0,0.23937599779262916,0.304,-0.06462400220737083,-0.0008975555862134838
19,19.0,0.2417901249306642,0.312,-0.07020987506933579,-0.0009238141456491552
20,20.0,0.24300678700025097,0.32,-0.07699321299974904,-0.000962415162496863
21,21.0,0.24382651611543452,0.328,-0.0841734838845655,-0.0010020652843400655
22,22.0,0.2454929010049775,0.336,-0.09050709899502252,-0.001028489761307074
23,23.0,0.2481838840343615,0.34400000000000003,-0.09581611596563852,-0.001041479521365636
24,24.0,0.25085240114714724,0.352,-0.10114759885285274,-0.0010536208213838827
25,25.0,0.25329620124731134,0.36,-0.10670379875268865,-0.0010670379875268865
26,26.0,0.254952381800567,0.368,-0.11304761819943299,-0.0010869963288407019
27,27.0,0.25657094258709584,0.376,-0.11942905741290416,-0.0011058246056750386
28,28.0,0.25699749021100166,0.384,-0.12700250978899835,-0.0011339509802589139
29,29.0,0.2572667741872649,0.392,-0.1347332258127351,-0.0011614933259718545
30,30.0,0.25963927790819136,0.4,-0.14036072209180867,-0.0011696726840984056
