sample,time,sigma_sq,sigma_sq_analytical,delta_sigma_sq,nu_num
0,0.0,0.16027641667872206,0.16,0.00027641667872205233,nan
1,1.0,0.20198903778023222,0.168,0.03398903778023221,0.008497259445058053
2,2.0,0.20545804615789653,0.176,0.029458046157896545,0.003682255769737068
3,3.0,0.20809363243265877,0.184,0.024093632432658774,0.0020078027027215645
4,4.0,0.2110726841726284,0.192,0.01907268417262839,0.0011920427607892744
5,5.0,0.21636610429820066,0.2,0.01636610429820065,0.0008183052149100326
6,6.0,0.22121750320396547,0.20800000000000002,0.013217503203965447,0.000550729300165227
7,7.0,0.22578105783851543,0.216,0.009781057838515433,0.00034932349423269407
8,8.0,0.2309923814526174,0.224,0.006992381452617408,0.000218511920394294
9,9.0,0.23623525465710005,0.232,0.004235254657100035,0.0001176459626972232
10,10.0,0.24124495655527037,0.24,0.0012449565552703767,3.112391388175942e-05
11,11.0,0.24675236431953854,0.248,-0.001247635680461462,-2.8355356374124135e-05
12,12.0,0.2521817139779597,0.256,-0.003818286022040318,-7.95476254591733e-05
13,13.0,0.25751286189393646,0.264,-0.00648713810606355,-0.0001247526558858375
14,14.0,0.26307459650375625,0.272,-0.008925403496243767,-0.00015938220529006727
15,15.0,0.26849474072070617,0.28,-0.011505259279293856,-0.00019175432132156425
16,16.0,0.27414367944412127,0.28800000000000003,-0.013856320555878765,-0.0002165050086856057
17,17.0,0.2795581378230706,0.296,-0.01644186217692939,-0.0002417920908371969
18,18.0,0.2851328117760769,0.304,-0.01886718822392308,-0.00026204428088782056
19,19.0,0.2906343849949564,0.312,-0.02136561500504358,-0.00028112651322425767
20,20.0,0.2961306776707516,0.32,-0.023869322329248432,-0.0002983665291156054
21,21.0,0.3017091389998239,0.328,-0.026290861000176136,-0.0003129864404782873
22,22.0,0.30730599852415214,0.336,-0.028694001475847886,-0.0003260681985891805
23,23.0,0.31275733632615804,0.34400000000000003,-0.031242663673841986,-0.0003395941703678477
24,24.0,0.31831569508891333,0.352,-0.03368430491108665,-0.0003508781761571526
25,25.0,0.3237452445612097,0.36,-0.03625475543879031,-0.0003625475543879031
26,26.0,0.32919470635679404,0.368,-0.03880529364320595,-0.0003731278234923649
27,27.0,0.33442688369681295,0.376,-0.04157311630318705,-0.0003849362620665468
28,28.0,0.3397177193013176,0.384,-0.0442822806986824,-0.00039537750623823566
29,29.0,0.34504467737975025,0.392,-0.04695532262024976,-0.00040478726396767035
30,30.0,0.35006957175307235,0.4,-0.04993042824692767,-0.0004160869020577306
