run,method,ppc,flip_coef,sample,time,kinetic_energy,ke_norm
rankine_pic_ppc2_t4,pic,2,,0,0.0,13.63179874420166,1.0
rankine_pic_ppc2_t4,pic,2,,1,0.016,13.478215217590332,0.9887334364676814
rankine_pic_ppc2_t4,pic,2,,2,0.032,13.385129928588867,0.9819048960271869
rankine_pic_ppc2_t4,pic,2,,3,0.048,13.305956840515137,0.9760969252993761
rankine_pic_ppc2_t4,pic,2,,4,0.064,13.234575271606445,0.9708605239815343
rankine_pic_ppc2_t4,pic,2,,5,0.08,13.16832160949707,0.9660002950893233
rankine_pic_ppc2_t4,pic,2,,6,0.096,13.106087684631348,0.9614349456417902
rankine_pic_ppc2_t4,pic,2,,7,0.112,13.046975135803223,0.9570985737559253
rankine_pic_ppc2_t4,pic,2,,8,0.128,12.990204811096191,0.9529340224907316
rankine_pic_ppc2_t4,pic,2,,9,0.14400000000000002,12.935505867004395,0.9489214233379556
rankine_pic_ppc2_t4,pic,2,,10,0.16,12.882513046264648,0.9450339817952694
rankine_pic_ppc2_t4,pic,2,,11,0.176,12.831164360046387,0.9412671504928265
rankine_pic_ppc2_t4,pic,2,,12,0.192,12.781172752380371,0.9375998716102594
rankine_pic_ppc2_t4,pic,2,,13,0.20800000000000002,12.732322692871094,0.9340163342924086
rankine_pic_ppc2_t4,pic,2,,14,0.224,12.68464469909668,0.9305187772444296
rankine_pic_ppc2_t4,pic,2,,15,0.24,12.637840270996094,0.9270853031315217
rankine_pic_ppc2_t4,pic,2,,16,0.256,12.591872215270996,0.923713183531777
rankine_pic_ppc2_t4,pic,2,,17,0.272,12.546736717224121,0.9204021386070511
rankine_pic_ppc2_t4,pic,2,,18,0.28800000000000003,12.502232551574707,0.9171374068952258
rankine_pic_ppc2_t4,pic,2,,19,0.304,12.458535194396973,0.9139318609509446
rankine_pic_ppc2_t4,pic,2,,20,0.32,12.415581703186035,0.9107808834448243
rankine_pic_ppc2_t4,pic,2,,21,0.336,12.373161315917969,0.9076690133193862
rankine_pic_ppc2_t4,pic,2,,22,0.352,12.331124305725098,0.9045852669274618
rankine_pic_ppc2_t4,pic,2,,23,0.368,12.289608001708984,0.9015397184422502
rankine_pic_ppc2_t4,pic,2,,24,0.384,12.24862003326416,0.8985329275400401
rankine_pic_ppc2_t4,pic,2,,25,0.4,12.208094596862793,0.8955600670128404
rankine_pic_ppc2_t4,pic,2,,26,0.41600000000000004,12.16796875,0.8926165195312683
rankine_pic_ppc2_t4,pic,2,,27,0.432,12.128252029418945,0.8897029846906848
rankine_pic_ppc2_t4,pic,2,,28,0.448,12.08891773223877,0.8868175036240789
rankine_pic_ppc2_t4,pic,2,,29,0.464,12.049878120422363,0.8839536400541291
rankine_pic_ppc2_t4,pic,2,,30,0.48,12.011228561401367,0.8811183899344458
rankine_pic_ppc2_t4,pic,2,,31,0.496,11.972895622253418,0.878306366380749
rankine_pic_ppc2_t4,pic,2,,32,0.512,11.934890747070312,0.875518408907472
rankine_pic_ppc2_t4,pic,2,,33,0.528,11.897196769714355,0.8727532582429649
rankine_pic_ppc2_t4,pic,2,,34,0.544,11.859820365905762,0.8700114041039803
rankine_pic_ppc2_t4,pic,2,,35,0.56,11.822855949401855,0.8672997724845927
rankine_pic_ppc2_t4,pic,2,,36,0.5760000000000001,11.78618335723877,0.8646095484832528
rankine_pic_ppc2_t4,pic,2,,37,0.592,11.749831199645996,0.8619428308860438
rankine_pic_ppc2_t4,pic,2,,38,0.608,11.713606834411621,0.8592854878666728
rankine_pic_ppc2_t4,pic,2,,39,0.624,11.677685737609863,0.8566503919797828
rankine_pic_ppc2_t4,pic,2,,40,0.64,11.641952514648438,0.8540290781215053
rankine_pic_ppc2_t4,pic,2,,41,0.656,11.606555938720703,0.8514324599794725
rankine_pic_ppc2_t4,pic,2,,42,0.672,11.571404457092285,0.8488538214382183
rankine_pic_ppc2_t4,pic,2,,43,0.6880000000000001,11.536482810974121,0.8462920431451653
rankine_pic_ppc2_t4,pic,2,,44,0.704,11.50169849395752,0.8437403390253112
rankine_pic_ppc2_t4,pic,2,,45,0.72,11.467220306396484,0.8412110919165464
rankine_pic_ppc2_t4,pic,2,,46,0.736,11.432939529418945,0.8386963264317552
rankine_pic_ppc2_t4,pic,2,,47,0.752,11.398940086364746,0.8362021990101145
rankine_pic_ppc2_t4,pic,2,,48,0.768,11.36513614654541,0.8337224132933753
rankine_pic_ppc2_t4,pic,2,,49,0.784,11.331475257873535,0.8312531215070516
rankine_pic_ppc2_t4,pic,2,,50,0.8,11.297866821289062,0.8287876774952135
rankine_pic_ppc2_t4,pic,2,,51,0.8160000000000001,11.264744758605957,0.8263579128467885
rankine_pic_ppc2_t4,pic,2,,52,0.8320000000000001,11.231793403625488,0.8239406709553262
rankine_pic_ppc2_t4,pic,2,,53,0.848,11.199000358581543,0.821535042346857
rankine_pic_ppc2_t4,pic,2,,54,0.864,11.16632080078125,0.8191377389231842
rankine_pic_ppc2_t4,pic,2,,55,0.88,11.133930206298828,0.8167616332389509
rankine_pic_ppc2_t4,pic,2,,56,0.896,11.101666450500488,0.8143948321730194
rankine_pic_ppc2_t4,pic,2,,57,0.912,11.069525718688965,0.8120370558872454
rankine_pic_ppc2_t4,pic,2,,58,0.928,11.037638664245605,0.8096978888380749
rankine_pic_ppc2_t4,pic,2,,59,0.9440000000000001,11.00571060180664,0.807355713528852
rankine_pic_ppc2_t4,pic,2,,60,0.96,10.974139213562012,0.805039703086132
rankine_pic_ppc2_t4,pic,2,,61,0.976,10.942697525024414,0.8027332071403221
rankine_pic_ppc2_t4,pic,2,,62,0.992,10.911273002624512,0.8004279704661621
rankine_pic_ppc2_t4,pic,2,,63,1.008,10.880000114440918,0.7981338573582426
rankine_pic_ppc2_t4,pic,2,,64,1.024,10.848905563354492,0.7958528266835745
rankine_pic_ppc2_t4,pic,2,,65,1.04,10.817916870117188,0.7935795615174139
rankine_pic_ppc2_t4,pic,2,,66,1.056,10.787039756774902,0.7913144816169776
rankine_pic_ppc2_t4,pic,2,,67,1.072,10.756379127502441,0.7890652825312368
rankine_pic_ppc2_t4,pic,2,,68,1.088,10.725922584533691,0.7868310547862222
rankine_pic_ppc2_t4,pic,2,,69,1.104,10.695549011230469,0.7846029135208487
rankine_pic_ppc2_t4,pic,2,,70,1.12,10.665112495422363,0.7823701549260923
rankine_pic_ppc2_t4,pic,2,,71,1.1360000000000001,10.634772300720215,0.7801444622444824
rankine_pic_ppc2_t4,pic,2,,72,1.1520000000000001,10.60468578338623,0.7779373787994762
rankine_pic_ppc2_t4,pic,2,,73,1.168,10.57474422454834,0.7757409292039578
rankine_pic_ppc2_t4,pic,2,,74,1.184,10.544987678527832,0.7735580517584434
rankine_pic_ppc2_t4,pic,2,,75,1.2,10.515264511108398,0.7713776228966928
rankine_pic_ppc2_t4,pic,2,,76,1.216,10.485658645629883,0.7692057990578829
rankine_pic_ppc2_t4,pic,2,,77,1.232,10.456143379211426,0.767040621375003
rankine_pic_ppc2_t4,pic,2,,78,1.248,10.426831245422363,0.764890345073313
rankine_pic_ppc2_t4,pic,2,,79,1.264,10.397669792175293,0.7627511223783277
rankine_pic_ppc2_t4,pic,2,,80,1.28,10.368621826171875,0.7606202248681385
rankine_pic_ppc2_t4,pic,2,,81,1.296,10.339754104614258,0.7585025497102731
rankine_pic_ppc2_t4,pic,2,,82,1.312,10.31091022491455,0.7563866235408102
rankine_pic_ppc2_t4,pic,2,,83,1.328,10.28211784362793,0.754274475186297
rankine_pic_ppc2_t4,pic,2,,84,1.344,10.253544807434082,0.7521784175250876
rankine_pic_ppc2_t4,pic,2,,85,1.36,10.22507095336914,0.7500896356556331
rankine_pic_ppc2_t4,pic,2,,86,1.3760000000000001,10.19667911529541,0.7480068703062835
rankine_pic_ppc2_t4,pic,2,,87,1.3920000000000001,10.16834831237793,0.7459285823672446
rankine_pic_ppc2_t4,pic,2,,88,1.408,10.140219688415527,0.7438651258498598
rankine_pic_ppc2_t4,pic,2,,89,1.424,10.112021446228027,0.7417965622863392
rankine_pic_ppc2_t4,pic,2,,90,1.44,10.084104537963867,0.7397486367859694
rankine_pic_ppc2_t4,pic,2,,91,1.456,10.05609130859375,0.7376936453724531
rankine_pic_ppc2_t4,pic,2,,92,1.472,10.0282564163208,0.7356517363921882
rankine_pic_ppc2_t4,pic,2,,93,1.488,10.000560760498047,0.7336200415041944
rankine_pic_ppc2_t4,pic,2,,94,1.504,9.972823143005371,0.7315852683966121
rankine_pic_ppc2_t4,pic,2,,95,1.52,9.94520092010498,0.7295589603928984
rankine_pic_ppc2_t4,pic,2,,96,1.536,9.917725563049316,0.7275434261577446
rankine_pic_ppc2_t4,pic,2,,97,1.552,9.890336036682129,0.7255341882808403
rankine_pic_ppc2_t4,pic,2,,98,1.568,9.863165855407715,0.7235410410972397
rankine_pic_ppc2_t4,pic,2,,99,1.584,9.83597469329834,0.721546354803845
rankine_pic_ppc2_t4,pic,2,,100,1.6,9.8088960647583,0.7195599237357105
rankine_pic_ppc2_t4,pic,2,,101,1.616,9.781903266906738,0.7175797890258253
rankine_pic_ppc2_t4,pic,2,,102,1.6320000000000001,9.755001068115234,0.7156063004718701
rankine_pic_ppc2_t4,pic,2,,103,1.6480000000000001,9.728142738342285,0.7136360300565756
rankine_pic_ppc2_t4,pic,2,,104,1.6640000000000001,9.701354026794434,0.7116708666874166
rankine_pic_ppc2_t4,pic,2,,105,1.68,9.674762725830078,0.7097201849422312
rankine_pic_ppc2_t4,pic,2,,106,1.696,9.648276329040527,0.7077771987460173
rankine_pic_ppc2_t4,pic,2,,107,1.712,9.62182331085205,0.7058366611335669
rankine_pic_ppc2_t4,pic,2,,108,1.728,9.595516204833984,0.7039068273301405
