sample,time,sigma_sq,sigma_sq_excess
0,0.0,0.72029012372122,0.0
1,0.016,0.9840493786958302,0.26375925497461017
2,0.032,1.0403198389731751,0.3200297152519551
3,0.048,1.077053006543177,0.3567628828219569
4,0.064,1.0916506534883943,0.37136052976717426
5,0.08,1.1027702342107202,0.38248011048950015
6,0.096,1.1110106527666699,0.39072052904544985
7,0.112,1.1188470723152812,0.3985569485940612
8,0.128,1.1250749676655563,0.4047848439443362
9,0.14400000000000002,1.1299345078848628,0.4096443841636428
10,0.16,1.134356744361345,0.4140666206401249
11,0.176,1.1376533198524998,0.4173631961312798
12,0.192,1.1407138626579796,0.42042373893675955
13,0.20800000000000002,1.1436369642538435,0.4233468405326235
14,0.224,1.1458454970075371,0.4255553732863171
15,0.24,1.1479916482896144,0.4277015245683944
16,0.256,1.1500645296472676,0.42977440592604754
17,0.272,1.1523189804381198,0.4320288567168997
18,0.28800000000000003,1.1545430008216346,0.4342528771004146
19,0.304,1.156309840312329,0.43601971659110905
20,0.32,1.1574954527599775,0.4372053290387574
21,0.336,1.1585194393313436,0.43822931561012357
22,0.352,1.1594917331621721,0.4392016094409521
23,0.368,1.1605050032243363,0.4402148795031162
24,0.384,1.1614493743261738,0.44115925060495376
25,0.4,1.1622794953698643,0.44198937164864427
26,0.41600000000000004,1.162814673923125,0.44252455020190506
27,0.432,1.1631270612795144,0.44283693755829434
28,0.448,1.1635705630359272,0.4432804393147072
29,0.464,1.164231226648984,0.443941102927764
30,0.48,1.1649557566350286,0.44466563291380856
31,0.496,1.1657913091954293,0.44550118547420925
32,0.512,1.1663209880746892,0.44603086435346917
33,0.528,1.1666466304837877,0.44635650676256766
34,0.544,1.166868951496023,0.44657882777480307
35,0.56,1.1669534391194347,0.4466633153982147
36,0.5760000000000001,1.167007691396211,0.44671756767499105
37,0.592,1.167233191112844,0.4469430673916239
38,0.608,1.1675999878343892,0.4473098641131692
39,0.624,1.1680896809231691,0.4477995572019491
40,0.64,1.1687426337591726,0.4484525100379526
41,0.656,1.1693468326923926,0.44905670897117256
42,0.672,1.1697311001159125,0.4494409763946925
43,0.6880000000000001,1.1698971485753495,0.4496070248541295
44,0.704,1.1701953810340153,0.4499052573127953
45,0.72,1.1706942114287198,0.45040408770749973
46,0.736,1.1710556033086377,0.45076547958741764
47,0.752,1.171213039770521,0.4509229160493009
48,0.768,1.1714321483381942,0.45114202461697417
49,0.784,1.1719017663360163,0.45161164261479625
50,0.8,1.172405462553615,0.4521153388323951
51,0.8160000000000001,1.1728506421278964,0.4525605184066763
52,0.8320000000000001,1.1730613324462145,0.45277120872499443
53,0.848,1.1733316989840692,0.45304157526284916
54,0.864,1.1736997396916389,0.45340961597041884
55,0.88,1.1740651357743812,0.4537750120531612
56,0.896,1.1743092750050779,0.45401915128385784
57,0.912,1.174640444135166,0.4543503204139461
58,0.928,1.1748989935504457,0.45460886982922566
59,0.9440000000000001,1.1751170053143776,0.45482688159315754
60,0.96,1.1752255301002996,0.4549354063790796
61,0.976,1.175421001305836,0.4551308775846159
62,0.992,1.1756736978906739,0.45538357416945385
63,1.008,1.1759914765636028,0.4557013528423828
64,1.024,1.1761554223958872,0.4558652986746672
65,1.04,1.1762553567044707,0.45596523298325065
66,1.056,1.1764721594809466,0.4561820357597266
67,1.072,1.1767297895347946,0.45643966581357454
68,1.088,1.1769060528815858,0.45661592916036575
69,1.104,1.177005288219029,0.4567151644978089
70,1.12,1.1772976487024835,0.4570075249812635
71,1.1360000000000001,1.177630739083416,0.45734061536219595
72,1.1520000000000001,1.177920803546713,0.457630679825493
73,1.168,1.1781018806587384,0.4578117569375184
74,1.184,1.1782254868698183,0.4579353631485983
75,1.2,1.178305627728367,0.45801550400714697
76,1.216,1.1784070787918726,0.45811695507065253
77,1.232,1.1783919854893314,0.4581018617681114
78,1.248,1.1784350373036225,0.4581449135824025
79,1.264,1.1786038474747236,0.45831372375350354
80,1.28,1.1787947036199355,0.4585045798987155
81,1.296,1.1789974513375185,0.4587073276162985
82,1.312,1.1793517777217317,0.4590616540005117
83,1.328,1.1797008072562534,0.45941068353503334
84,1.344,1.1799462020133415,0.4596560782921215
85,1.36,1.180123522460468,0.459833398739248
86,1.3760000000000001,1.1802207695416655,0.4599306458204455
87,1.3920000000000001,1.1804818058703612,0.4601916821491412
88,1.408,1.1807834010933875,0.4604932773721675
89,1.424,1.1809411052714802,0.4606509815502602
90,1.44,1.1810278716486526,0.4607377479274326
91,1.456,1.1810917142000943,0.46080159047887426
92,1.472,1.181096013953703,0.460805890232483
93,1.488,1.1810966904680944,0.46080656674687437
94,1.504,1.1813095150485498,0.4610193913273297
95,1.52,1.1815643055238123,0.4612741818025923
96,1.536,1.1817495989524505,0.46145947523123043
97,1.552,1.181770120907406,0.46147999718618604
98,1.568,1.1817803124533834,0.4614901887321634
99,1.584,1.1818465713179815,0.4615564475967615
100,1.6,1.1820556532147506,0.46176552949353056
101,1.616,1.1822442146075165,0.46195409088629646
102,1.6320000000000001,1.182428521642613,0.4621383979213929
103,1.6480000000000001,1.182562726924847,0.46227260320362706
104,1.6640000000000001,1.1826050985430252,0.46231497482180517
105,1.68,1.1827038284818423,0.46241370476062227
106,1.696,1.1829737603941832,0.4626836366729632
107,1.712,1.1832865920678277,0.4629964683466077
108,1.728,1.1834156308805124,0.46312550715929235
109,1.744,1.183457530694034,0.463167406972814
110,1.76,1.1834549031149646,0.46316477939374456
111,1.776,1.1834641412990483,0.4631740175778283
112,1.792,1.183471766069903,0.463181642348683
113,1.808,1.183429851147558,0.463139727426338
114,1.824,1.1834216557839816,0.4631315320627616
115,1.84,1.1835598523951882,0.4632697286739682
116,1.856,1.1837017531731115,0.4634116294518915
117,1.872,1.1837855176018413,0.4634953938806212
118,1.8880000000000001,1.1837881631390712,0.46349803941785117
119,1.9040000000000001,1.18388521654122,0.4635950928199999
120,1.92,1.1840338403210415,0.4637437165998215
121,1.936,1.1842596026970835,0.4639694789758635
122,1.952,1.1844726696632442,0.4641825459420241
123,1.968,1.1845366895849945,0.46424656586377444
124,1.984,1.1845388126386662,0.4642486889174462
125,2.0,1.184493072464732,0.464202948743512
126,2.016,1.1845084713728682,0.46421834765164816
127,2.032,1.1846896937236988,0.4643995700024788
128,2.048,1.184855746167328,0.4645656224461079
129,2.064,1.1850092572279878,0.46471913350676775
130,2.08,1.1850378195899842,0.4647476958687642
131,2.096,1.1851220557984605,0.4648319320772405
132,2.112,1.1852398210147366,0.46494969729351654
133,2.128,1.1853889548068017,0.4650988310855817
134,2.144,1.185461673795815,0.465171550074595
135,2.16,1.1854598758220039,0.4651697521007838
136,2.176,1.1853978979197823,0.4651077741985623
137,2.192,1.1853395274297167,0.4650494037084967
138,2.208,1.185348621834002,0.4650584981127819
139,2.224,1.1853820853285306,0.4650919616073106
140,2.24,1.1854107750064553,0.4651206512852353
141,2.2560000000000002,1.1853883566085668,0.46509823288734675
142,2.2720000000000002,1.185330340155036,0.4650402164338159
143,2.2880000000000003,1.1853316125856828,0.4650414888644627
144,2.3040000000000003,1.1853511934744687,0.4650610697532487
145,2.32,1.1854582100986844,0.4651680863774643
146,2.336,1.1856462908973913,0.46535616717617123
147,2.352,1.1858303772855685,0.46554025356434847
148,2.368,1.1858411992793707,0.4655510755581507
149,2.384,1.1858766116611439,0.46558648793992385
150,2.4,1.186000695798846,0.465710572077626
151,2.416,1.1862145287178931,0.4659244049966731
152,2.432,1.1863953087941668,0.46610518507294674
153,2.448,1.1864428084742262,0.4661526847530062
154,2.464,1.1863007115488602,0.46601058782764015
155,2.48,1.1860898026594704,0.46579967893825036
156,2.496,1.1859348311606983,0.4656447074394783
157,2.512,1.1859204347627912,0.46563031104157115
158,2.528,1.1860903331017676,0.46580020938054756
159,2.544,1.186309024411349,0.46601890069012897
160,2.56,1.1864477388076138,0.46615761508639375
161,2.576,1.1864979147532175,0.4662077910319975
162,2.592,1.1865038156923085,0.4662136919710884
163,2.608,1.186432603523346,0.46614247980212586
164,2.624,1.1863403905447472,0.4660502668235271
165,2.64,1.1864335812293805,0.46614345750816044
166,2.656,1.1865834933435664,0.46629336962234635
167,2.672,1.1866965391907354,0.46640641546951533
168,2.688,1.1867801969486202,0.4664900732274002
169,2.704,1.1868796290450918,0.4665895053238718
170,2.72,1.1869632349819068,0.4666731112606868
171,2.736,1.1870434889594585,0.4667533652382385
172,2.7520000000000002,1.1870909077420024,0.4668007840207824
173,2.7680000000000002,1.1871218476482153,0.46683172392699523
174,2.7840000000000003,1.187191865346777,0.466901741625557
175,2.8000000000000003,1.1873443944412785,0.46705427072005845
176,2.816,1.1875858702343252,0.4672957465131051
177,2.832,1.187779507542491,0.46748938382127103
178,2.848,1.1878962887813391,0.4676061650601191
179,2.864,1.1879447937705252,0.46765467004930517
180,2.88,1.1879887580546933,0.46769863433347325
181,2.896,1.1880365166605213,0.4677463929393013
182,2.912,1.1881353786751263,0.4678452549539063
183,2.928,1.1882670822471593,0.46797695852593924
184,2.944,1.1884509079635643,0.4681607842423443
185,2.96,1.1886633892776561,0.4683732655564361
186,2.976,1.1889270255291018,0.46863690180788176
187,2.992,1.1891347082540842,0.46884458453286415
188,3.008,1.1892319413707866,0.46894181764956655
189,3.024,1.189258411075805,0.46896828735458507
