sample,time,sigma_sq,sigma_sq_excess
0,0.0,0.72029012372122,0.0
1,0.016,0.7677976244751972,0.04750750075397714
2,0.032,0.7701580829525715,0.049867959231351455
3,0.048,0.7706052824277134,0.05031515870649339
4,0.064,0.7735888851213484,0.05329876140012835
5,0.08,0.7745064416610414,0.0542163179398214
6,0.096,0.7758905196309913,0.05560039590977128
7,0.112,0.7772873229737443,0.05699719925252422
8,0.128,0.7783757464998582,0.05808562277863816
9,0.14400000000000002,0.7792664750562394,0.05897635133501933
10,0.16,0.7800063988111263,0.05971627508990629
11,0.176,0.7807867853017219,0.06049666158050182
12,0.192,0.7814353290916798,0.061145205370459754
13,0.20800000000000002,0.7819953754942236,0.06170525177300357
14,0.224,0.7824227187592266,0.06213259503800661
15,0.24,0.7827054707988526,0.06241534707763252
16,0.256,0.782899763618948,0.06260963989772794
17,0.272,0.7833449382812147,0.06305481455999462
18,0.28800000000000003,0.7834973418292125,0.06320721810799246
19,0.304,0.7839035353315057,0.06361341161028566
20,0.32,0.7838523849429216,0.06356226122170161
21,0.336,0.7843799021092269,0.06408977838800689
22,0.352,0.7842883903224906,0.06399826660127061
23,0.368,0.7846581161292,0.06436799240797997
24,0.384,0.7844923764000956,0.06420225267887558
25,0.4,0.7850160416021561,0.06472591788093607
26,0.41600000000000004,0.7849453061389583,0.06465518241773827
27,0.432,0.7854578601461984,0.06516773642497842
28,0.448,0.7853352307658393,0.0650451070446193
29,0.464,0.7855050926784012,0.06521496895718115
30,0.48,0.7855979802637976,0.06530785654257754
31,0.496,0.7857954722491852,0.06550534852796519
32,0.512,0.785819656519234,0.06552953279801399
33,0.528,0.786294339320229,0.06600421559900893
34,0.544,0.786129563069529,0.06583943934830894
35,0.56,0.7864849504863066,0.06619482676508659
36,0.5760000000000001,0.7864203178091439,0.06613019408792387
37,0.592,0.7866894883864622,0.06639936466524221
38,0.608,0.7869702469113573,0.06668012319013727
39,0.624,0.7870116247761052,0.06672150105488517
40,0.64,0.7872990944690692,0.06700897074784917
41,0.656,0.787455307590675,0.06716518386945491
42,0.672,0.7876087856788835,0.06731866195766345
43,0.6880000000000001,0.7879180575071396,0.06762793378591958
44,0.704,0.7880966951813793,0.06780657146015923
45,0.72,0.7884306846298782,0.06814056090865817
46,0.736,0.7887682980675373,0.06847817434631731
47,0.752,0.7887043098388502,0.06841418611763017
48,0.768,0.7886221101310046,0.06833198640978455
49,0.784,0.7886213399457078,0.06833121622448779
50,0.8,0.7889075849015933,0.06861746118037326
51,0.8160000000000001,0.7888894505867095,0.06859932686548942
52,0.8320000000000001,0.7891446186135063,0.06885449489228623
53,0.848,0.7893787670232753,0.06908864330205522
54,0.864,0.7894602372101248,0.06917011348890478
55,0.88,0.7898126003909686,0.06952247666974853
56,0.896,0.789721672011195,0.069431548289975
57,0.912,0.7902114600174049,0.06992133629618491
58,0.928,0.7900260898294591,0.06973596610823907
59,0.9440000000000001,0.7903638298161311,0.07007370609491104
60,0.96,0.7905242932584406,0.07023416953722061
61,0.976,0.7909776542244206,0.07068753050320054
62,0.992,0.7909113095540999,0.0706211858328799
63,1.008,0.7913098835006829,0.07101975977946284
64,1.024,0.7913613529246997,0.07107122920347964
65,1.04,0.7915483080463293,0.07125818432510922
66,1.056,0.7916004866436929,0.07131036292247284
67,1.072,0.7915243836375274,0.07123425991630739
68,1.088,0.7917760164880914,0.07148589276687134
69,1.104,0.7920106893912893,0.07172056567006924
70,1.12,0.7921582593309977,0.07186813560977767
71,1.1360000000000001,0.792190464008488,0.071900340287268
72,1.1520000000000001,0.7926938030142592,0.07240367929303915
73,1.168,0.7928282254751673,0.07253810175394726
74,1.184,0.7928367984267893,0.0725466747055693
75,1.2,0.7931018752812397,0.07281175156001962
76,1.216,0.7931116410018285,0.07282151728060848
77,1.232,0.7933576026146097,0.07306747889338971
78,1.248,0.7936202757105869,0.07333015198936688
79,1.264,0.7937965298146683,0.07350640609344827
80,1.28,0.793902431103439,0.07361230738221902
81,1.296,0.7940958722522647,0.07380574853104471
82,1.312,0.7940904150365337,0.07380029131531363
83,1.328,0.7941699545153355,0.07387983079411542
84,1.344,0.7942696803312322,0.07397955661001221
85,1.36,0.7946675902803274,0.07437746655910737
86,1.3760000000000001,0.7949398011197109,0.07464967739849082
87,1.3920000000000001,0.7949364666877263,0.0746463429665063
88,1.408,0.7954142499480222,0.0751241262268022
89,1.424,0.795560161946769,0.07527003822554901
90,1.44,0.7957267544529493,0.07543663073172924
91,1.456,0.7960201838687818,0.07573006014756178
92,1.472,0.7963137983182493,0.0760236745970293
93,1.488,0.796199602446325,0.075909478725105
94,1.504,0.7964016298512178,0.07611150612999773
95,1.52,0.7966503142075149,0.07636019048629483
96,1.536,0.796733955537061,0.07644383181584091
97,1.552,0.7969394611331178,0.07664933741189772
98,1.568,0.7971108468693456,0.0768207231481256
99,1.584,0.7974431558673356,0.07715303214611557
100,1.6,0.7975228976854849,0.07723277396426487
101,1.616,0.7975934991419277,0.07730337542070764
102,1.6320000000000001,0.7980392329624248,0.07774910924120482
103,1.6480000000000001,0.7979807400726192,0.07769061635139918
104,1.6640000000000001,0.7980869628053061,0.07779683908408608
105,1.68,0.7981360295827495,0.07784590586152951
106,1.696,0.798389018851338,0.07809889513011792
107,1.712,0.798735215300558,0.07844509157933799
108,1.728,0.7988339958499784,0.07854387212875835
109,1.744,0.79903889564143,0.07874877192021001
110,1.76,0.7990256633697561,0.07873553964853608
111,1.776,0.7994507002308205,0.07916057650960051
112,1.792,0.7994672621483949,0.07917713842717489
113,1.808,0.7998178655211595,0.07952774179993949
114,1.824,0.7998484273714063,0.07955830365018624
115,1.84,0.8000160452352664,0.07972592151404634
116,1.856,0.8002517235522,0.07996159983097995
117,1.872,0.8002187430526901,0.07992861933147011
118,1.8880000000000001,0.8004874552669428,0.08019733154572273
119,1.9040000000000001,0.8006938660183127,0.08040374229709268
120,1.92,0.8005738070449859,0.0802836833237659
121,1.936,0.8008626649835905,0.08057254126237046
122,1.952,0.8011211359640416,0.08083101224282152
123,1.968,0.8015531788087351,0.08126305508751508
124,1.984,0.8020663944657348,0.08177627074451477
125,2.0,0.8021202069916393,0.0818300832704193
126,2.016,0.8021521143522448,0.08186199063102473
127,2.032,0.8020701994768507,0.08178007575563062
128,2.048,0.8020229829621559,0.08173285924093587
129,2.064,0.8020064883958039,0.08171636467458387
130,2.08,0.8020112851916971,0.08172116147047703
131,2.096,0.8022715921239943,0.08198146840277432
132,2.112,0.8023980853316041,0.08210796161038403
133,2.128,0.8027082997264869,0.08241817600526691
134,2.144,0.8025627301630858,0.08227260644186574
135,2.16,0.8026871178360458,0.08239699411482582
136,2.176,0.8028877139724797,0.08259759025125968
137,2.192,0.8030769392341828,0.08278681551296274
138,2.208,0.8030542340825298,0.08276411036130982
139,2.224,0.8035043080081583,0.08321418428693828
140,2.24,0.8034410507999233,0.08315092707870331
