sample,time,sigma_sq,sigma_sq_excess
0,0.0,0.7202899877228257,0.0
1,1.0,0.7658709933031866,0.045581005580360934
2,2.0,0.7679636505419691,0.047673662819143425
3,3.0,0.7703030626836718,0.05001307496084606
4,4.0,0.7727142031348933,0.05242421541206754
5,5.0,0.7749153897549335,0.05462540203210775
6,6.0,0.7769220271569912,0.056632039434165504
7,7.0,0.7781539410966062,0.057863953373780475
8,8.0,0.7794419218132712,0.0591519340904455
9,9.0,0.7797697211872247,0.05947973346439894
10,10.0,0.7811067081617449,0.06081672043891917
11,11.0,0.7825782984036502,0.06228831068082452
12,12.0,0.7831723745055852,0.06288238678275948
13,13.0,0.7835349669293105,0.06324497920648475
14,14.0,0.7836453778986469,0.06335539017582115
15,15.0,0.7852075665211332,0.06491757879830751
16,16.0,0.7857462021770095,0.06545621445418381
17,17.0,0.7859649551686695,0.06567496744584378
18,18.0,0.7866128118143659,0.06632282409154022
19,19.0,0.787603861592079,0.06731387386925325
20,20.0,0.7878890822082454,0.06759909448541968
21,21.0,0.7881420817110836,0.06785209398825787
22,22.0,0.78838274358301,0.06809275586018426
23,23.0,0.788774458750627,0.06848447102780131
24,24.0,0.7894257964681484,0.06913580874532266
25,25.0,0.7903333792470361,0.07004339152421035
26,26.0,0.7909849082993113,0.07069492057648563
27,27.0,0.7911428357460899,0.07085284802326419
28,28.0,0.7918414186851133,0.07155143096228755
29,29.0,0.7926828365849575,0.07239284886213182
30,30.0,0.7923896285152425,0.07209964079241682
31,31.0,0.7926397690456332,0.07234978132280745
32,32.0,0.7933515394092038,0.07306155168637807
33,33.0,0.7937025184754883,0.07341253075266263
34,34.0,0.7943281697181747,0.07403818199534895
35,35.0,0.7941651219382684,0.07387513421544267
36,36.0,0.7944359817324966,0.07414599400967092
37,37.0,0.7946298157535938,0.07433982803076811
38,38.0,0.7951934334749321,0.07490344575210639
39,39.0,0.7960181774843181,0.07572818976149243
40,40.0,0.7964630331593783,0.07617304543655257
41,41.0,0.7966548411608574,0.07636485343803168
42,42.0,0.7973563605804237,0.07706637285759799
43,43.0,0.7977790587745024,0.07748907105167668
44,44.0,0.7980471553259606,0.07775716760313489
45,45.0,0.7981364082831677,0.07784642056034197
46,46.0,0.7986284767575169,0.0783384890346912
47,47.0,0.7993784135657465,0.07908842584292075
48,48.0,0.7995542166154901,0.07926422889266438
49,49.0,0.7996270781554845,0.0793370904326588
50,50.0,0.8005482795850238,0.08025829186219813
51,51.0,0.8008751346522399,0.08058514692941421
52,52.0,0.8014103364539826,0.08112034873115692
53,53.0,0.8016103540068574,0.08132036628403172
54,54.0,0.801901278392097,0.08161129066927131
55,55.0,0.8022536440976088,0.08196365637478309
56,56.0,0.8024121005632163,0.08212211284039062
57,57.0,0.8027792272472344,0.08248923952440868
58,58.0,0.8033651030518199,0.08307511532899414
59,59.0,0.8040469068286501,0.08375691910582439
60,60.0,0.8052681428421742,0.08497815511934848
61,61.0,0.805851598490105,0.0855616107672793
62,62.0,0.8050736849989065,0.08478369727608082
63,63.0,0.8052385315117578,0.08494854378893213
64,64.0,0.8058935865901958,0.08560359886737012
65,65.0,0.8061175817237577,0.08582759400093198
66,66.0,0.8062191873299133,0.08592919960708756
67,67.0,0.8069116160455715,0.08662162832274578
68,68.0,0.8072322782982165,0.08694229057539082
69,69.0,0.8072506164376595,0.08696062871483379
70,70.0,0.8079946537853255,0.08770466606249983
71,71.0,0.8083765211016456,0.08808653337881989
72,72.0,0.8091670716749888,0.0888770839521631
73,73.0,0.8095791077818272,0.08928912005900147
74,74.0,0.8098953534404488,0.08960536571762312
75,75.0,0.8109253911424067,0.09063540341958098
76,76.0,0.8115072614326011,0.09121727370977539
77,77.0,0.8124074440469982,0.09211745632417245
78,78.0,0.8122774474270366,0.09198745970421085
79,79.0,0.8114446533860284,0.09115466566320274
80,80.0,0.8111288953782347,0.09083890765540903
81,81.0,0.8110073445188305,0.09071735679600479
82,82.0,0.8114209438274349,0.0911309561046092
83,83.0,0.8115948911066735,0.09130490338384778
84,84.0,0.8122047947398119,0.09191480701698618
85,85.0,0.8125550646271648,0.09226507690433905
86,86.0,0.8133505149752137,0.093060527252388
87,87.0,0.8128019346879453,0.09251194696511955
88,88.0,0.8132140085169877,0.09292402079416195
