sample,time,sigma_sq,sigma_sq_excess
0,0.0,0.7202659686129657,0.0
1,0.004,0.7301306331522092,0.009864664539243506
2,0.008,0.7316185467871966,0.011352578174230965
3,0.012,0.7319021695841806,0.011636200971214983
4,0.016,0.732079144301357,0.011813175688391353
5,0.02,0.7322629603889899,0.011996991776024202
6,0.024,0.732253389048687,0.011987420435721319
7,0.028,0.7319424596912993,0.011676491078333684
8,0.032,0.7317332233647368,0.011467254751771128
9,0.036000000000000004,0.7319541269049059,0.011688158291940254
10,0.04,0.7324251661745197,0.012159197561554036
11,0.044,0.7327264906917037,0.012460522078738046
12,0.048,0.7327334393843916,0.01246747077142596
13,0.052000000000000005,0.7327423212385854,0.012476352625619747
14,0.056,0.7330223623264659,0.012756393713500236
15,0.06,0.7334729013597041,0.013206932746738453
16,0.064,0.7339020785351119,0.013636109922146256
17,0.068,0.7341675776506892,0.013901609037723528
18,0.07200000000000001,0.734319741622121,0.014053773009155335
19,0.076,0.734612122182325,0.01434615356935931
20,0.08,0.7350491345594069,0.014783165946441246
21,0.084,0.7354218054373453,0.015155836824379598
22,0.088,0.7356482235019556,0.015382254888989921
23,0.092,0.7358173725552053,0.015551403942239639
24,0.096,0.7360673469668106,0.015801378353844986
25,0.1,0.7363983595354717,0.016132390922506068
26,0.10400000000000001,0.7366739807995876,0.016408012186621912
27,0.108,0.7367956815164501,0.016529712903484484
28,0.112,0.7368520109886234,0.01658604237565775
29,0.116,0.7370177688345901,0.01675180022162448
30,0.12,0.7372482657943751,0.016982297181409423
31,0.124,0.7373925591724859,0.01712659055952026
32,0.128,0.7374268502592419,0.01716088164627627
33,0.132,0.7374194331904578,0.017153464577492117
34,0.136,0.737463238557404,0.017197269944438376
35,0.14,0.7375044549748734,0.017238486361907723
36,0.14400000000000002,0.737512865703221,0.017246897090255398
37,0.148,0.7374479115366127,0.017181942923647053
38,0.152,0.7373579781054501,0.01709200949248446
39,0.156,0.7373039729431844,0.017038004330218737
40,0.16,0.7372246716667442,0.016958703053778557
41,0.164,0.73708900217871,0.016823033565744328
42,0.168,0.7368766416720763,0.01661067305911068
43,0.17200000000000001,0.7366386708895204,0.01637270227655474
44,0.176,0.7364182786673878,0.016152310054422192
45,0.18,0.7361946308430112,0.01592866223004552
46,0.184,0.7359451199161672,0.01567915130320152
47,0.188,0.7356342071280276,0.015368238515061972
48,0.192,0.7353197737484917,0.01505380513552601
49,0.196,0.7350241095496167,0.014758140936651065
50,0.2,0.7346921764276416,0.014426207814675962
51,0.20400000000000001,0.7343286927265561,0.014062724113590441
52,0.20800000000000002,0.7339288633474125,0.013662894734446818
53,0.212,0.7334827279842059,0.013216759371240228
54,0.216,0.7330535363971117,0.012787567784146026
55,0.22,0.7326613842288401,0.012395415615874428
56,0.224,0.7322391442301285,0.011973175617162823
57,0.228,0.7317629796821438,0.011497011069178109
58,0.232,0.7312559734086049,0.010990004795639274
59,0.23600000000000002,0.730771487001723,0.010505518388757351
60,0.24,0.7303128947804289,0.010046926167463277
61,0.244,0.7298180941039536,0.00955212549098794
62,0.248,0.7292804314798504,0.009014462866884787
63,0.252,0.7287347506015294,0.008468781988563712
64,0.256,0.7282010985391911,0.00793512992622547
65,0.26,0.7276803295123928,0.007414360899427153
66,0.264,0.7271466415044135,0.006880672891447892
67,0.268,0.7265841627715232,0.0063181941585575
68,0.272,0.7259770339686022,0.005711065355636591
69,0.276,0.7253711402343265,0.005105171621360816
70,0.28,0.7247698009137868,0.004503832300821187
