run,method,ppc,flip_coef,sample,time,sigma_sq,sigma_sq_excess
rankine_pic_ppc2_t4,pic,2,,0,0.0,0.72029012372122,0.0
rankine_pic_ppc2_t4,pic,2,,1,0.016,0.7840726303508706,0.06378250662965057
rankine_pic_ppc2_t4,pic,2,,2,0.032,0.7850603676534754,0.06477024393225539
rankine_pic_ppc2_t4,pic,2,,3,0.048,0.7809132129528343,0.0606230892316143
rankine_pic_ppc2_t4,pic,2,,4,0.064,0.783123461987357,0.06283333826613702
rankine_pic_ppc2_t4,pic,2,,5,0.08,0.782032342943441,0.061742219222221006
rankine_pic_ppc2_t4,pic,2,,6,0.096,0.7834302661891478,0.06314014246792776
rankine_pic_ppc2_t4,pic,2,,7,0.112,0.7833828063923925,0.06309268267117252
rankine_pic_ppc2_t4,pic,2,,8,0.128,0.7847984009630454,0.0645082772418254
rankine_pic_ppc2_t4,pic,2,,9,0.14400000000000002,0.7854893147430946,0.06519919102187455
rankine_pic_ppc2_t4,pic,2,,10,0.16,0.7867617664713397,0.06647164275011963
rankine_pic_ppc2_t4,pic,2,,11,0.176,0.7874622729238548,0.06717214920263481
rankine_pic_ppc2_t4,pic,2,,12,0.192,0.7892278988192005,0.06893777509798049
rankine_pic_ppc2_t4,pic,2,,13,0.20800000000000002,0.7901847505625452,0.06989462684132519
rankine_pic_ppc2_t4,pic,2,,14,0.224,0.7918177206378829,0.07152759691666288
rankine_pic_ppc2_t4,pic,2,,15,0.24,0.7931634402750927,0.07287331655387264
rankine_pic_ppc2_t4,pic,2,,16,0.256,0.7945660466089924,0.0742759228877724
rankine_pic_ppc2_t4,pic,2,,17,0.272,0.7963028225497047,0.07601269882848471
rankine_pic_ppc2_t4,pic,2,,18,0.28800000000000003,0.7975245484982348,0.07723442477701481
rankine_pic_ppc2_t4,pic,2,,19,0.304,0.7992293031065663,0.07893917938534623
rankine_pic_ppc2_t4,pic,2,,20,0.32,0.8008280357928517,0.08053791207163163
rankine_pic_ppc2_t4,pic,2,,21,0.336,0.8025429040094486,0.08225278028822858
rankine_pic_ppc2_t4,pic,2,,22,0.352,0.8039015153196316,0.08361139159841158
rankine_pic_ppc2_t4,pic,2,,23,0.368,0.8056936114143922,0.08540348769317219
rankine_pic_ppc2_t4,pic,2,,24,0.384,0.8074149840258513,0.08712486030463129
rankine_pic_ppc2_t4,pic,2,,25,0.4,0.808990557337787,0.08870043361656699
rankine_pic_ppc2_t4,pic,2,,26,0.41600000000000004,0.8107171352067896,0.09042701148556953
rankine_pic_ppc2_t4,pic,2,,27,0.432,0.812321674890397,0.09203155116917694
rankine_pic_ppc2_t4,pic,2,,28,0.448,0.8142888297780883,0.09399870605686822
rankine_pic_ppc2_t4,pic,2,,29,0.464,0.8160663316778591,0.0957762079566391
rankine_pic_ppc2_t4,pic,2,,30,0.48,0.8177643204174055,0.09747419669618551
rankine_pic_ppc2_t4,pic,2,,31,0.496,0.8198147698655497,0.09952464614432965
rankine_pic_ppc2_t4,pic,2,,32,0.512,0.8213803149479159,0.10109019122669582
rankine_pic_ppc2_t4,pic,2,,33,0.528,0.8234400662103085,0.10314994248908849
rankine_pic_ppc2_t4,pic,2,,34,0.544,0.8252200813688476,0.10492995764762758
rankine_pic_ppc2_t4,pic,2,,35,0.56,0.8269599482245229,0.10666982450330287
rankine_pic_ppc2_t4,pic,2,,36,0.5760000000000001,0.82901255021823,0.10872242649700992
rankine_pic_ppc2_t4,pic,2,,37,0.592,0.8307244571474713,0.11043433342625131
rankine_pic_ppc2_t4,pic,2,,38,0.608,0.8326203899266392,0.1123302662054192
rankine_pic_ppc2_t4,pic,2,,39,0.624,0.8346471163748914,0.11435699265367139
rankine_pic_ppc2_t4,pic,2,,40,0.64,0.836384466540447,0.11609434281922693
rankine_pic_ppc2_t4,pic,2,,41,0.656,0.8383178715815466,0.11802774786032655
rankine_pic_ppc2_t4,pic,2,,42,0.672,0.8402064944405013,0.1199163707192813
rankine_pic_ppc2_t4,pic,2,,43,0.6880000000000001,0.8420924174104223,0.12180229368920226
rankine_pic_ppc2_t4,pic,2,,44,0.704,0.843916171157052,0.12362604743583194
rankine_pic_ppc2_t4,pic,2,,45,0.72,0.8459260199054813,0.1256358961842613
rankine_pic_ppc2_t4,pic,2,,46,0.736,0.8476509620586719,0.12736083833745182
rankine_pic_ppc2_t4,pic,2,,47,0.752,0.8494884315436945,0.12919830782247443
rankine_pic_ppc2_t4,pic,2,,48,0.768,0.8514059910475161,0.1311158673262961
rankine_pic_ppc2_t4,pic,2,,49,0.784,0.8533801849991997,0.13309006127797962
rankine_pic_ppc2_t4,pic,2,,50,0.8,0.855236082985836,0.13494595926461594
rankine_pic_ppc2_t4,pic,2,,51,0.8160000000000001,0.8571985479528852,0.13690842423166516
rankine_pic_ppc2_t4,pic,2,,52,0.8320000000000001,0.8589094502600457,0.1386193265388257
