run,step,time,vorticity_l2,enstrophy
falling-block-water_pic_ppc3_t4_r1,0,0.0,0.0,0.0
falling-block-water_pic_ppc3_t4_r1,1,1.0,3.621824107170481,6.558804931640626
falling-block-water_pic_ppc3_t4_r1,2,2.0,7.069070850918988,24.985881347656253
falling-block-water_pic_ppc3_t4_r1,3,3.0,10.765509342629823,57.948095703125006
falling-block-water_pic_ppc3_t4_r1,4,4.0,14.327205872918837,102.63441406250001
falling-block-water_pic_ppc3_t4_r1,5,5.0,17.67268040826009,156.16181640625
falling-block-water_pic_ppc3_t4_r1,6,6.0,21.49080290205557,230.92730468750003
falling-block-water_pic_ppc3_t4_r1,7,7.0,23.82567794811934,283.83146484375004
falling-block-water_pic_ppc3_t4_r1,8,8.0,27.86377156138415,388.19488281250005
falling-block-water_pic_ppc3_t4_r1,9,9.0,28.243096501623192,398.83625000000006
falling-block-water_pic_ppc3_t4_r1,10,10.0,25.264823928240624,319.1556640625
falling-block-water_pic_ppc3_t4_r1,11,11.0,20.481311984953503,209.74207031250003
falling-block-water_pic_ppc3_t4_r1,12,12.0,14.16156495148047,100.27496093750001
falling-block-water_pic_ppc3_t4_r1,13,13.0,11.80702129891892,69.70287597656251
falling-block-water_pic_ppc3_t4_r1,14,14.0,15.496805366348898,120.07548828125
falling-block-water_pic_ppc3_t4_r1,15,15.0,21.687128058770252,235.16576171875
falling-block-water_pic_ppc3_t4_r1,16,16.0,28.292730404646353,400.23929687500004
falling-block-water_pic_ppc3_t4_r1,17,17.0,34.94485387721631,610.57140625
falling-block-water_pic_ppc3_t4_r1,18,18.0,40.83839530699021,833.887265625
falling-block-water_pic_ppc3_t4_r1,19,19.0,41.51083066502043,861.5745312500002
falling-block-water_pic_ppc3_t4_r1,20,20.0,42.304360369233805,894.829453125
falling-block-water_pic_ppc3_t4_r1,21,21.0,39.352485626704706,774.3090625000001
falling-block-water_pic_ppc3_t4_r1,22,22.0,33.750531245818934,569.5491796875001
falling-block-water_pic_ppc3_t4_r1,23,23.0,28.400283339255616,403.288046875
falling-block-water_pic_ppc3_t4_r1,24,24.0,30.16939804048135,455.09628906250003
falling-block-water_pic_ppc3_t4_r1,25,25.0,25.905840617995782,335.55628906250007
falling-block-water_pic_ppc3_t4_r1,26,26.0,15.611304622972739,121.856416015625
