test,method,ppc,flip_coef_pic,threads,repeat,run,sample,step,time,kinetic_energy,normalized_ke,velocity_l2,normalized_velocity_l2
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,0,0,0.0,0.0,0.0,0.0,0.0
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1,62,0.62,601.8248367309571,1.0,1.0971096907155247,1.0
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2,124,1.24,2434.2073059082036,4.044710615684351,2.2064484158521376,2.0111465922911616
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,3,186,1.86,5459.668579101563,9.071856536792087,3.304442034323363,3.0119522799659504
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,4,248,2.48,9721.48376464844,16.15334424789514,4.40941804882423,4.019122323081887
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,5,310,3.1,15225.870361328129,25.29950482607746,5.518309589236205,5.029861312807487
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,6,372,3.72,21856.025390625004,36.3162569184489,6.611508964014948,6.026297115015895
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,7,434,4.34,19555.38940429688,32.493490149923836,6.25386111203261,5.7003061452806065
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,8,496,4.96,12858.825683593752,21.36639250955711,5.071257375364368,4.6223795289393
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,9,558,5.58,8363.608398437502,13.897080824825467,4.089892027532634,3.7278788640224705
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,10,620,6.2,4826.30096435547,8.019444645341288,3.1068636804196834,2.8318623987300815
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,11,682,6.82,2577.7407836914067,4.283207714878296,2.2705685559750917,2.0695911951103523
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,12,744,7.44,1439.677429199219,2.3921867981045453,1.6968661875346676,1.5466695827178296
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,13,806,8.06,1700.883026123047,2.826209425589756,1.8443877174406944,1.681133375312547
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,14,868,8.68,2427.293395996094,4.033222372776888,2.20331268593275,2.0082884187229904
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,15,930,9.3,3303.139343261719,5.488539424866527,2.570268212954329,2.3427632029009096
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,16,992,9.92,4484.542236328126,7.451573884334253,2.9948429796328644,2.7297571108679715
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,17,1054,10.540000000000001,5848.963623046876,9.718714260477798,3.420223274304435,3.117485246232578
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,18,1116,11.16,6795.855712890626,11.29208250992918,3.68669383401731,3.3603694008143186
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,19,1178,11.78,6115.505371093751,10.161603506283436,3.4972861967799407,3.187727012509609
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,20,1240,12.4,5304.177246093751,8.813490109357113,3.2570468974498206,2.9687522815750587
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,21,1302,13.02,5137.509155273438,8.53655223533112,3.2054669411096532,2.9217378792990862
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,22,1364,13.64,4501.004638671876,7.4789280268338745,3.0003348608686586,2.73476288310959
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,23,1426,14.26,3810.3631591796884,6.331349134537451,2.7605663039237758,2.5162172272157766
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,24,1488,14.88,3117.1835327148447,5.1795528241190985,2.496871455527835,2.2758630943268754
