test,method,ppc,flip_coef_pic,threads,repeat,run,step,time,max_div,i,j
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,25,0.25,0.00105919,39,219
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,50,0.5,0.000788093,58,234
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,75,0.75,0.00142064,40,212
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,100,1.0,0.00245178,33,229
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,125,1.25,0.00255034,9,5
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,150,1.5,0.00273628,33,213
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,175,1.75,0.00149996,41,183
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,200,2.0,0.00240216,65,183
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,225,2.25,0.00204283,34,182
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,250,2.5,0.00195176,32,156
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,275,2.75,0.00168672,57,143
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,300,3.0,0.00108431,52,127
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,325,3.25,0.00285499,48,132
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,350,3.5,0.00117604,54,87
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,375,3.75,0.00147208,51,71
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,400,4.0,0.00286583,41,79
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,425,4.25,0.0464821,0,243
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,450,4.5,0.00737256,0,176
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,475,4.75,0.00742435,98,70
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,500,5.0,0.00730962,0,236
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,525,5.25,0.0039174,0,160
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,550,5.5,0.00421211,96,55
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,575,5.75,0.00579059,95,14
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,600,6.0,0.0035198,98,147
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,625,6.25,0.00597009,1,151
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,650,6.5,0.00691295,97,139
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,675,6.75,0.00484753,98,180
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,700,7.0,0.00400724,98,188
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,725,7.25,0.00843402,1,248
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,750,7.5,0.00647014,1,248
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,775,7.75,0.00580944,98,221
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,800,8.0,0.00554124,98,209
