study,binding,method,threads,repeat,nx,ny,cells,nt,ppc,run,config
strong,close,pic,1,0,100,250,25000,2500,3,strong_pic_close_t1_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t1_r0.json
strong,close,pic,2,0,100,250,25000,2500,3,strong_pic_close_t2_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t2_r0.json
strong,close,pic,4,0,100,250,25000,2500,3,strong_pic_close_t4_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t4_r0.json
strong,close,pic,8,0,100,250,25000,2500,3,strong_pic_close_t8_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t8_r0.json
strong,close,pic,16,0,100,250,25000,2500,3,strong_pic_close_t16_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t16_r0.json
strong,close,pic,32,0,100,250,25000,2500,3,strong_pic_close_t32_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t32_r0.json
strong,close,pic,64,0,100,250,25000,2500,3,strong_pic_close_t64_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t64_r0.json
strong,spread,pic,1,0,100,250,25000,2500,3,strong_pic_spread_t1_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t1_r0.json
strong,spread,pic,2,0,100,250,25000,2500,3,strong_pic_spread_t2_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t2_r0.json
strong,spread,pic,4,0,100,250,25000,2500,3,strong_pic_spread_t4_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t4_r0.json
strong,spread,pic,8,0,100,250,25000,2500,3,strong_pic_spread_t8_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t8_r0.json
strong,spread,pic,16,0,100,250,25000,2500,3,strong_pic_spread_t16_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t16_r0.json
strong,spread,pic,32,0,100,250,25000,2500,3,strong_pic_spread_t32_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t32_r0.json
strong,spread,pic,64,0,100,250,25000,2500,3,strong_pic_spread_t64_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t64_r0.json
weak,close,pic,1,0,100,250,25000,2500,3,weak_pic_close_t1_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t1_r0.json
weak,close,pic,2,0,142,354,50268,2500,3,weak_pic_close_t2_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t2_r0.json
weak,close,pic,4,0,200,500,100000,2500,3,weak_pic_close_t4_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t4_r0.json
weak,close,pic,8,0,284,708,201072,2500,3,weak_pic_close_t8_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t8_r0.json
weak,close,pic,16,0,400,1000,400000,2500,3,weak_pic_close_t16_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t16_r0.json
weak,close,pic,32,0,566,1414,800324,2500,3,weak_pic_close_t32_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t32_r0.json
weak,close,pic,64,0,800,2000,1600000,2500,3,weak_pic_close_t64_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t64_r0.json
weak,spread,pic,1,0,100,250,25000,2500,3,weak_pic_spread_t1_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t1_r0.json
weak,spread,pic,2,0,142,354,50268,2500,3,weak_pic_spread_t2_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t2_r0.json
weak,spread,pic,4,0,200,500,100000,2500,3,weak_pic_spread_t4_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t4_r0.json
weak,spread,pic,8,0,284,708,201072,2500,3,weak_pic_spread_t8_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t8_r0.json
weak,spread,pic,16,0,400,1000,400000,2500,3,weak_pic_spread_t16_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t16_r0.json
weak,spread,pic,32,0,566,1414,800324,2500,3,weak_pic_spread_t32_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t32_r0.json
weak,spread,pic,64,0,800,2000,1600000,2500,3,weak_pic_spread_t64_r0,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_spread_t64_r0.json
