study,binding,method,threads,repeat,nx,ny,cells,nt,ppc,run,status,returncode,wall_time_s,reported_time_s,config
strong,close,pic,1,0,100,250,25000,2500,3,strong_pic_close_t1_r0,ok,0,88.94046100298874,88.7397,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t1_r0.json
strong,close,pic,2,0,100,250,25000,2500,3,strong_pic_close_t2_r0,ok,0,78.62674440408591,78.4126,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t2_r0.json
strong,close,pic,4,0,100,250,25000,2500,3,strong_pic_close_t4_r0,ok,0,72.07152281096205,71.866,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t4_r0.json
strong,close,pic,8,0,100,250,25000,2500,3,strong_pic_close_t8_r0,ok,0,58.51760443509556,58.3178,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t8_r0.json
strong,close,pic,16,0,100,250,25000,2500,3,strong_pic_close_t16_r0,ok,0,34.40632003999781,34.2118,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t16_r0.json
strong,close,pic,32,0,100,250,25000,2500,3,strong_pic_close_t32_r0,ok,0,25.078477776027285,24.8383,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t32_r0.json
strong,close,pic,64,0,100,250,25000,2500,3,strong_pic_close_t64_r0,ok,0,32.777264347998425,32.5649,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_close_t64_r0.json
strong,spread,pic,1,0,100,250,25000,2500,3,strong_pic_spread_t1_r0,ok,0,88.8513059199322,88.6578,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t1_r0.json
strong,spread,pic,2,0,100,250,25000,2500,3,strong_pic_spread_t2_r0,ok,0,89.19500757893547,88.9755,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t2_r0.json
strong,spread,pic,4,0,100,250,25000,2500,3,strong_pic_spread_t4_r0,ok,0,85.30324822210241,85.0931,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t4_r0.json
strong,spread,pic,8,0,100,250,25000,2500,3,strong_pic_spread_t8_r0,ok,0,71.04835553001612,70.8303,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t8_r0.json
strong,spread,pic,16,0,100,250,25000,2500,3,strong_pic_spread_t16_r0,ok,0,49.724793268949725,49.5074,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t16_r0.json
strong,spread,pic,32,0,100,250,25000,2500,3,strong_pic_spread_t32_r0,ok,0,35.120413505937904,34.903,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t32_r0.json
strong,spread,pic,64,0,100,250,25000,2500,3,strong_pic_spread_t64_r0,ok,0,31.109304131940007,30.8702,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/strong_pic_spread_t64_r0.json
weak,close,pic,1,0,100,250,25000,2500,3,weak_pic_close_t1_r0,ok,0,88.60500750888605,88.3972,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t1_r0.json
weak,close,pic,2,0,142,354,50268,2500,3,weak_pic_close_t2_r0,ok,0,112.41969450400211,112.199,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t2_r0.json
weak,close,pic,4,0,200,500,100000,2500,3,weak_pic_close_t4_r0,ok,0,171.1800014419714,170.964,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t4_r0.json
weak,close,pic,8,0,284,708,201072,2500,3,weak_pic_close_t8_r0,ok,0,288.5918527779868,288.352,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t8_r0.json
weak,close,pic,16,0,400,1000,400000,2500,3,weak_pic_close_t16_r0,ok,0,458.20579022495076,457.928,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t16_r0.json
weak,close,pic,32,0,566,1414,800324,2500,3,weak_pic_close_t32_r0,ok,0,841.1646886059316,840.817,/home/users/l/d/ldelbarr/PICM/PostPro/data/misc/study_pic_scaling/configs/weak_pic_close_t32_r0.json
