test,method,ppc,flip_coef_pic,threads,repeat,run,step,time,max_div,i,j
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,25,0.25,0.000961979,40,218
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,50,0.5,0.000909437,67,220
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,75,0.75,0.000865029,0,236
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,100,1.0,0.000852723,63,219
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,125,1.25,0.000843869,37,217
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,150,1.5,0.000832805,45,216
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,175,1.75,0.000858685,61,185
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,200,2.0,0.000847156,59,189
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,225,2.25,0.000876686,43,188
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,250,2.5,0.00069616,53,159
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,275,2.75,0.000731968,32,135
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,300,3.0,0.00074695,47,119
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,325,3.25,0.000774866,34,124
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,350,3.5,0.000804739,62,87
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,375,3.75,0.000854412,34,76
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,400,4.0,0.00089556,48,72
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,425,4.25,0.279515,50,47
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,450,4.5,0.122793,48,37
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,475,4.75,0.0772905,56,11
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,500,5.0,0.0762975,0,229
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,525,5.25,0.0215089,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,550,5.5,0.0188491,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,575,5.75,0.010373,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,600,6.0,0.00807703,6,37
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,625,6.25,0.00697114,97,3
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,650,6.5,0.00845313,95,6
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,675,6.75,0.00966836,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,700,7.0,0.0098598,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,725,7.25,0.00667602,0,144
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,750,7.5,0.00861725,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,775,7.75,0.0127971,0,128
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,800,8.0,0.00745088,76,14
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,825,8.25,0.00507638,0,222
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,850,8.5,0.00749129,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,875,8.75,0.00799492,0,236
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,900,9.0,0.00621051,0,96
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,925,9.25,0.00589088,0,243
falling-block-water,pic,1,,32,0,falling-block-water_pic_ppc1_t32_r0,950,9.5,0.00468716,0,236
