test,method,ppc,flip_coef_pic,threads,repeat,run,sample,step,time,kinetic_energy,normalized_ke,velocity_l2,normalized_velocity_l2
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,0,0,0.0,0.0,0.0,0.0,0.0
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1,62,0.62,600.3841400146486,1.0,1.0957957291526998,1.0
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2,124,1.24,2436.130981445313,4.057620478425487,2.207320086188368,2.0143536130544426
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,3,186,1.86,5468.322753906251,9.10803998548801,3.307059949231719,3.0179529462017807
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,4,248,2.48,9721.463623046877,16.192072666692507,4.409413480962491,4.023937458099033
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,5,310,3.1,15225.822753906254,25.360134852221055,5.51830096205458,5.0358847139525595
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,6,372,3.72,21873.283691406254,36.43214774273114,6.614118791102297,6.035904881849211
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,7,434,4.34,19609.51049804688,32.66160644677995,6.262509161358071,5.715033372324255
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,8,496,4.96,12792.006835937504,21.30637034420229,5.058064221802152,4.6158824014701985
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,9,558,5.58,8368.132324218752,13.937963657758482,4.090998001519617,3.7333582278906055
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,10,620,6.2,4729.693298339845,7.877778547288819,3.07561158091845,2.8067380617522573
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,11,682,6.82,2495.167999267579,4.155952552655205,2.233905995903847,2.038615351814855
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,12,744,7.44,1460.8177185058598,2.4331384211285427,1.7092792156379013,1.5598520510383485
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,13,806,8.06,1677.5296020507815,2.794093798030461,1.8316820696020264,1.6715543060368876
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,14,868,8.68,2415.6794738769536,4.023556441411018,2.1980352471591322,2.00588046538447
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,15,930,9.3,3322.374267578126,5.53374755618472,2.577740975186656,2.352391879807597
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,16,992,9.92,4486.55487060547,7.4728071106208835,2.995514937570991,2.7336435595411634
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,17,1054,10.540000000000001,5892.630004882813,9.814766267375154,3.4329666485076182,3.132852736305228
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,18,1116,11.16,7033.760986328127,11.715434365332356,3.7506695365836022,3.4227816707076655
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,19,1178,11.78,6428.964843750001,10.708085732566392,3.585795544575848,3.272321153641004
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,20,1240,12.4,5469.876708984376,9.110628253522684,3.30752980605901,3.018381727602174
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,21,1302,13.02,4711.828613281251,7.848023122606618,3.069797587229898,2.801432334111716
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,22,1364,13.64,3882.929687500001,6.467408828296602,2.786729153505952,2.5431100700316924
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,23,1426,14.26,3585.505065917969,5.972018291206839,2.677874181479768,2.443771325473568
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,24,1488,14.88,3273.806457519532,5.4528529974820055,2.558830380279057,2.3351344709635042
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,25,1550,15.5,2292.020111083985,3.8175893704121875,2.141037183742489,1.9538652385495237
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,26,1612,16.12,1851.9964599609377,3.0846858478236143,1.9245760364095452,1.7563273749001391
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,27,1674,16.740000000000002,1032.2103118896487,1.719249798744624,1.4368091814083377,1.3112016621193798
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,28,1736,17.36,781.9563293457032,1.302426691895333,1.2505649358155724,1.1412391037356429
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,29,1798,17.98,711.5570831298829,1.185169686715112,1.1929434882926206,1.0886549897534628
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,30,1860,18.6,851.4278411865236,1.418138462427988,1.3049351257334776,1.190856188810382
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,31,1922,19.22,459.17049407958996,0.7647945098422934,0.9583010947291983,0.8745253054327778
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,32,1984,19.84,129.39432144165042,0.21551921980899325,0.5087127311983659,0.4642404762717198
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,33,2046,20.46,170.03997802734378,0.2832186373597328,0.5831637472054376,0.5321828984096847
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,34,2108,21.080000000000002,187.66080856323245,0.312567897877272,0.6126349786997678,0.5590777207842145
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,35,2170,21.7,246.22497558593756,0.41011239167631913,0.7017477831613543,0.6404001808840463
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,36,2232,22.32,200.23185729980472,0.33350624034625453,0.632822024426781,0.5774999916417788
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,37,2294,22.94,228.33339691162112,0.38031217297986936,0.6757712585063398,0.6166945540377906
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,38,2356,23.56,313.467025756836,0.5221107701965408,0.7917916717885279,0.7225723286955714
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,39,2418,24.18,416.65241241455084,0.6939763805292809,0.9128553142908802,0.8330524476461737
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,40,2480,24.8,45.9800148010254,0.07658432616141983,0.30324912135412824,0.27673873267293075
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,0,0,0.0,0.0,0.0,0.0,0.0
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1,62,0.62,603.2875442504884,1.0,1.0984421188669782,1.0
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,2,124,1.24,2436.2280273437505,4.0382534838680755,2.207364051235659,2.009540615132741
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,3,186,1.86,5479.390258789063,9.082551614084029,3.3104048872574676,3.0137271963606844
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,4,248,2.48,9741.391601562502,16.14717839677098,4.4139305843120145,4.018355185492067
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,5,310,3.1,15246.420898437502,25.27222887947957,5.522032397304004,5.027149180149678
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,6,372,3.72,21920.190429687504,36.334564899596394,6.621206903531637,6.027815931130976
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,7,434,4.34,22108.620605468754,36.646903812569235,6.649604590570593,6.053668624278111
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,8,496,4.96,21587.536621093754,35.78316314803689,6.570774173732309,5.981902970463237
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,9,558,5.58,20639.252929687504,34.21130292906888,6.424835084216171,5.849042907097612
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,10,620,6.2,12256.137695312502,20.31558219976059,4.95098731473077,4.507281020721982
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,11,682,6.82,7369.082641601563,12.214876159521502,3.839031815862318,3.4949787065905715
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,12,744,7.44,5485.178222656251,9.09214565248636,3.3121528414782584,3.0153184993440347
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,13,806,8.06,8018.625488281252,13.29154822555374,4.004653664995576,3.645757565383872
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,14,868,8.68,12864.896240234379,21.324650844925785,5.072454285695314,4.617862150922847
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,15,930,9.3,18926.293945312504,31.37192890137675,6.152445683679378,5.601064979213931
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,16,992,9.92,24402.805175781254,40.449708283135166,6.986101226833355,6.3600085128193955
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,17,1054,10.540000000000001,26879.040527343754,44.554277282050805,7.331990251949842,6.674899046581214
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,18,1116,11.16,26783.447265625004,44.3958233861768,7.318940806650236,6.663019089435119
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,19,1178,11.78,24710.739746093754,40.96013581184384,7.030041215539743,6.400010610291505
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,20,1240,12.4,23549.853515625004,39.035868948500905,6.862922630428672,6.247869152639234
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,21,1302,13.02,20949.841308593754,34.726129369406074,6.472996417207993,5.892888032994186
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,22,1364,13.64,17258.430175781254,28.607303996675018,5.875105135362474,5.348579624225017
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,23,1426,14.26,17081.66137695313,28.31429479979571,5.844939927313733,5.321117814876468
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,24,1488,14.88,15929.365234375004,26.40426673182074,5.6443538575066325,5.138508220468343
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,25,1550,15.5,14742.641601562504,24.437172194361228,5.430035285624303,4.943396827522673
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,26,1612,16.12,12676.801757812502,21.01286837201635,5.035236192635357,4.583979534423813
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,27,1674,16.740000000000002,11193.392333984377,18.553992106518308,4.731467496239275,4.307434515639015
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,28,1736,17.36,9320.811157226564,15.450030828676468,4.3175945055613,3.9306527229808115
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,29,1798,17.98,8395.533447265625,13.916304964817494,4.0976904341996425,3.730456401677615
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,30,1860,18.6,8303.733520507814,13.764138841659985,4.075226011034925,3.7100052347213723
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,31,1922,19.22,7752.185668945314,12.849901747228122,3.937559058336856,3.5846759612589985
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,32,1984,19.84,7365.363769531252,12.208711815328167,3.8380629931076564,3.4940967094984887
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,33,2046,20.46,7069.775390625002,11.718749140442375,3.760259403452108,3.4232658588608595
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,34,2108,21.080000000000002,7029.978637695314,11.65278266507095,3.7496609547251905,3.4136172405632927
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,35,2170,21.7,6821.473999023439,11.307168636306413,3.6936361485732294,3.3626133640825278
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,36,2232,22.32,6997.190551757813,11.598433646514241,3.740906454793494,3.4056473168128027
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,37,2294,22.94,6854.595947265627,11.362071059798907,3.7025925909464106,3.3707671322413995
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,38,2356,23.56,6627.995605468751,10.986461876489148,3.6408778077460253,3.3145832130886608
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,39,2418,24.18,6640.497436523438,11.007184716159607,3.6443099309810187,3.317707750263668
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,40,2480,24.8,6454.501953125002,10.698881511210276,3.5929102279698006,3.2709144762910385
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,0,0,0.0,0.0,0.0,0.0,0.0
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,1,62,0.62,599.9162673950196,1.0,1.0953686752824545,1.0
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,2,124,1.24,2436.1669921875005,4.060845028866981,2.2073364003647025,2.0151538474436594
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,3,186,1.86,5438.114624023438,9.064789404089735,3.2979128624096297,3.0107788700085125
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,4,248,2.48,9683.120117187502,16.140786045415858,4.400709060410039,4.017559712738052
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,5,310,3.1,15225.936279296879,25.3801023689715,5.518321534542343,5.037866847086325
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,6,372,3.72,21786.936035156257,36.31662820173282,6.601050830762668,6.026327920195914
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,7,434,4.34,22183.339843750004,36.977393428711956,6.660831756432526,6.080903997656266
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,8,496,4.96,20342.351074218754,33.908650556435354,6.378456094419519,5.823113476177101
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,9,558,5.58,15414.750976562504,25.694837453728418,5.552432075507544,5.069007541297253
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,10,620,6.2,9730.213623046877,16.219286176882314,4.411397425543719,4.027317491442948
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,11,682,6.82,5806.408691406251,9.678698523410725,3.407758410276835,3.111060674980597
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,12,744,7.44,4715.767517089845,7.860709524625559,3.0710804343389784,2.8036956904460153
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,13,806,8.06,7214.658813476563,12.02610965160912,3.7985941645499754,3.4678681710251213
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,14,868,8.68,11979.140625000004,19.968020999024258,4.894719731506596,4.4685591636481945
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,15,930,9.3,17539.340820312504,29.236314755178302,5.92272586235637,5.407061563842075
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,16,992,9.92,20691.179199218754,34.4901119102251,6.4329121242589276,5.872828271814621
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,17,1054,10.540000000000001,20958.972167968754,34.93649581962103,6.474406871361848,5.910710263548792
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,18,1116,11.16,17693.151855468754,29.492702260428217,5.948638811605349,5.430718392664843
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,19,1178,11.78,15466.593017578129,25.781252915073942,5.561761055201514,5.0775242899541055
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,20,1240,12.4,14219.031982421879,23.701694311715077,5.332735129822571,4.868438590730612
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,21,1302,13.02,12698.635253906252,21.167346084890767,5.0395704685828635,4.6007984181977335
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,22,1364,13.64,12839.038085937504,21.401383465875476,5.067353961573535,4.62616293118557
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,23,1426,14.26,10456.611328125002,17.43011799551647,4.57309770902066,4.174939280458636
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,24,1488,14.88,8656.481933593752,14.429483586404938,4.160884986056152,3.7986160093387875
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,25,1550,15.5,7285.434570312502,12.144085710406898,3.817180784378047,3.484836539983891
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,26,1612,16.12,5591.620483398438,9.320668212046652,3.344135309283534,3.052976942599903
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,27,1674,16.740000000000002,5683.760375976564,9.474256133538127,3.371575410984178,3.078027961786268
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,28,1736,17.36,5970.894775390626,9.952880259969751,3.455689446518777,3.154818577980317
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,29,1798,17.98,5367.115478515626,8.946440978873483,3.2763136231184053,2.9910601764045945
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,30,1860,18.6,5381.519775390626,8.970451491103043,3.2807071723610526,2.995071199671728
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,31,1922,19.22,5337.070312500001,8.896358712983131,3.2671303348657523,2.9826764345103096
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,32,1984,19.84,4595.430908203126,7.660120516747428,3.0316434184128997,2.7676922727693967
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,33,2046,20.46,4338.715820312501,7.232202319087372,2.9457480612952973,2.689275426409012
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,34,2108,21.080000000000002,4268.815917968751,7.115686221520503,2.9219226266171905,2.6675243619357074
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,35,2170,21.7,3723.213806152344,6.206222448875127,2.7288143235304028,2.491229104051879
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,36,2232,22.32,3359.727783203126,5.600327855405339,2.5921912673269794,2.366501184323671
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,37,2294,22.94,3096.4785766601567,5.1615179400048765,2.4885652801002256,2.271897431664748
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,38,2356,23.56,2999.1735839843755,4.999320316829391,2.4491523366194987,2.2359159905572015
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,39,2418,24.18,2974.753112792969,4.958613850746306,2.4391609675431303,2.226794523692365
falling-block-water,flip,3,0.01,32,0,falling-block-water_flip_ppc3_coefpic0p01_t32_r0,40,2480,24.8,2952.5231933593755,4.92155881383237,2.4300301205373467,2.2184586572285654
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,0,0,0.0,0.0,0.0,0.0,0.0
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,1,62,0.62,600.3893661499025,1.0,1.095800498402791,1.0
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,2,124,1.24,2434.217376708985,4.0543978856901015,2.2064529801058463,2.0135535467650474
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,3,186,1.86,5446.706542968751,9.071957049966874,3.3005170937199373,3.0119689656380713
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,4,248,2.48,9690.62194824219,16.1405622660923,4.402413417261534,4.0175318624862575
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,5,310,3.1,15213.709716796877,25.339738800434365,5.5161054588897915,5.033859235262183
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,6,372,3.72,21803.923339843757,36.31630499997872,6.603623753643715,6.026301104324171
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,7,434,4.34,21857.436523437504,36.40543579844191,6.6117223963862095,6.033691722191472
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,8,496,4.96,18686.14379882813,31.123375683110712,6.113287789533245,5.578832824445515
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,9,558,5.58,14106.735839843752,23.49597883504427,5.311635499513074,4.847265088175421
falling-block-water,flip,3,0.05,32,0,falling-block-water_flip_ppc3_coefpic0p05_t32_r0,10,620,6.2,8270.415039062502,13.775085811559132,4.067041932181792,3.7114802722847835
