test,method,ppc,flip_coef_pic,threads,repeat,run,step,time,max_div,i,j
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,25,0.25,0.00100215,54,219
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,50,0.5,0.000727932,55,220
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,75,0.75,0.00105308,59,208
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,100,1.0,0.0014999,53,213
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,125,1.25,0.000727554,97,6
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,150,1.5,0.00134448,64,5
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,175,1.75,0.00148627,27,7
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,200,2.0,0.00114897,0,236
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,225,2.25,0.000940913,52,186
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,250,2.5,0.000904929,50,147
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,275,2.75,0.000967762,45,134
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,300,3.0,0.00163493,42,119
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,325,3.25,0.000891852,54,6
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,350,3.5,0.00149283,7,5
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,375,3.75,0.00101459,50,69
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,400,4.0,0.00304469,32,6
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,425,4.25,0.033413,0,64
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,450,4.5,0.00960946,60,2
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,475,4.75,0.00560629,98,32
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,500,5.0,0.00876367,97,87
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,525,5.25,0.00574082,2,39
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,550,5.5,0.00624549,98,137
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,575,5.75,0.00596061,97,108
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,600,6.0,0.00494123,93,7
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,625,6.25,0.00540495,3,7
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,650,6.5,0.00554577,99,213
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,675,6.75,0.00554665,98,137
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,700,7.0,0.0250962,99,219
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,725,7.25,0.0114453,1,108
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,750,7.5,0.012705,98,159
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,775,7.75,0.00858258,98,167
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,800,8.0,0.00485686,99,214
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,825,8.25,0.00506163,0,150
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,850,8.5,0.00402637,98,189
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,875,8.75,0.0045526,99,191
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,900,9.0,0.00205052,98,191
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,925,9.25,0.00326559,98,174
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,950,9.5,0.00563288,46,2
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,975,9.75,0.00582904,99,209
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1000,10.0,0.00837013,98,220
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1025,10.25,0.0159732,59,6
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1050,10.5,0.0098775,0,179
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1075,10.75,0.00962883,46,6
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1100,11.0,0.0364404,45,47
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1125,11.25,0.0322497,1,69
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1150,11.5,0.0168179,43,5
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1175,11.75,0.015893,44,213
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1200,12.0,0.011198,99,110
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1225,12.25,0.00817813,48,211
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1250,12.5,0.00963402,48,211
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1275,12.75,0.0192025,0,119
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1300,13.0,0.0130172,0,151
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1325,13.25,0.00773251,49,214
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1350,13.5,0.00919294,42,138
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1375,13.75,0.00728756,49,209
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1400,14.0,0.0149661,49,221
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1425,14.25,0.00444788,0,221
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1450,14.5,0.0264323,0,214
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1475,14.75,0.025655,47,214
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1500,15.0,0.00376356,48,213
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1525,15.25,0.0156984,0,66
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1550,15.5,0.00340354,48,212
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1575,15.75,0.00293839,51,79
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1600,16.0,0.00227988,0,182
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1625,16.25,0.0144547,98,32
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1650,16.5,0.0128275,48,137
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1675,16.75,0.0123736,48,244
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1700,17.0,0.00743175,48,220
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1725,17.25,0.00106299,0,107
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1750,17.5,0.00204629,48,210
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1775,17.75,0.011005,0,69
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1800,18.0,0.00215989,49,138
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1825,18.25,0.00815436,81,249
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1850,18.5,0.00126058,0,151
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1875,18.75,0.00148594,47,125
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1900,19.0,0.0012787,0,143
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1925,19.25,0.00132941,0,191
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1950,19.5,0.00127497,0,179
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,1975,19.75,0.00106171,52,108
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2000,20.0,0.00616862,0,236
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2025,20.25,0.0104525,53,70
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2050,20.5,0.0271114,0,124
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2075,20.75,0.00098671,0,111
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2100,21.0,0.00183156,0,96
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2125,21.25,0.00218919,0,67
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2150,21.5,0.00859462,82,242
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2175,21.75,0.00192221,82,241
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2200,22.0,0.00212176,82,242
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2225,22.25,0.0239258,0,220
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2250,22.5,0.0155798,0,210
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2275,22.75,0.000865817,82,237
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2300,23.0,0.00132898,0,96
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2325,23.25,0.000763655,82,208
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2350,23.5,0.000539146,82,191
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2375,23.75,0.000731848,80,190
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2400,24.0,0.00102829,0,243
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2425,24.25,0.000844456,82,183
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2450,24.5,0.00125358,85,188
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2475,24.75,0.000819534,85,175
falling-block-water,pic,3,,32,0,falling-block-water_pic_ppc3_t32_r0,2500,25.0,0.00272708,63,7
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,25,0.25,0.00133753,0,243
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,50,0.5,0.00126243,47,220
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,75,0.75,0.00187928,49,217
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,100,1.0,0.00144981,35,220
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,125,1.25,0.00166982,60,7
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,150,1.5,0.00176007,58,191
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,175,1.75,0.00498363,39,183
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,200,2.0,0.00234384,39,187
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,225,2.25,0.00457134,37,159
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,250,2.5,0.00447158,35,159
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,275,2.75,0.00425708,44,135
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,300,3.0,0.00809713,49,119
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,325,3.25,0.00840345,58,126
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,350,3.5,0.00933806,56,87
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,375,3.75,0.00975573,0,168
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,400,4.0,0.00863294,0,168
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,425,4.25,0.0473428,0,243
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,450,4.5,0.108671,0,128
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,475,4.75,0.0304096,3,46
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,500,5.0,0.153716,0,229
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,525,5.25,0.132622,99,187
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,550,5.5,0.0945354,0,190
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,575,5.75,0.543987,0,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,600,6.0,0.116272,61,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,625,6.25,1.08542,19,246
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,650,6.5,0.427377,98,219
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,675,6.75,0.301812,98,188
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,700,7.0,0.343688,99,135
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,725,7.25,0.292701,96,114
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,750,7.5,0.231504,68,188
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,775,7.75,0.105141,98,63
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,800,8.0,0.360968,97,6
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,825,8.25,0.485113,51,154
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,850,8.5,0.154762,55,187
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,875,8.75,0.133824,41,198
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,900,9.0,0.597515,19,217
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,925,9.25,0.386798,42,218
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,950,9.5,0.412354,12,191
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,975,9.75,0.243776,35,134
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1000,10.0,0.270499,1,159
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1025,10.25,0.175447,27,6
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1050,10.5,0.474123,36,189
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1075,10.75,0.30163,46,134
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1100,11.0,0.155057,17,197
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1125,11.25,0.362571,4,114
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1150,11.5,0.15938,16,186
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1175,11.75,0.31755,59,241
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1200,12.0,0.221685,5,7
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1225,12.25,0.418823,18,134
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1250,12.5,0.227044,89,248
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1275,12.75,0.451394,25,167
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1300,13.0,0.594393,19,154
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1325,13.25,0.0991511,74,248
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1350,13.5,0.197676,41,242
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1375,13.75,0.122311,23,143
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1400,14.0,0.119438,40,248
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1425,14.25,0.147159,52,248
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1450,14.5,0.317732,6,240
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1475,14.75,0.17019,66,187
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1500,15.0,0.290628,44,242
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1525,15.25,0.136719,8,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1550,15.5,0.0525756,43,246
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1575,15.75,0.165255,16,191
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1600,16.0,0.0490108,34,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1625,16.25,0.293779,30,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1650,16.5,0.165724,24,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1675,16.75,0.0732243,19,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1700,17.0,0.0751145,12,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1725,17.25,0.0780344,5,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1750,17.5,0.0472467,0,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1775,17.75,0.0429053,0,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1800,18.0,0.0392141,0,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1825,18.25,0.0755394,0,249
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1850,18.5,0.0573215,95,7
falling-block-water,flip,3,0.0,32,0,falling-block-water_flip_ppc3_coefpic0_t32_r0,1875,18.75,0.0382268,37,94
